bank,index,source_label,decoded_label,slot_bytes,representation,proposed_full_label,fallback_label,status,width_ok,width_error
TT3A,0,Look,SE,3,literal,Look,SE,blocked,True,
TT3A,1,Talk,Talk,4,literal,Talk,,full-word,True,
TT3A,2,Take,GT,3,literal,Take,GT,blocked,True,
TT3A,3,Use,Use,4,literal,Use,,full-word,True,
TT3A,4,Move,Move,4,literal,Move,,full-word,True,
TT3A,5,Area,Area,4,literal,Area,,full-word,True,
TT3A,6,Body,BOD,4,literal,Body,BOD,blocked,True,
TT3A,7,Pocket,POCKT,5,literal,Pocket,POCKT,blocked,True,
TT3A,8,Pliers,PLI,4,literal,Pliers,PLI,blocked,True,
TT3A,9,Out,Out,5,literal,Out,,full-word,True,
TT3A,10,Hit,Hit,4,literal,Hit,,full-word,True,
TT3A,11,Data,Data,4,literal,Data,,full-word,True,
TT3A,12,In,In,5,literal,In,,full-word,True,
TT3A,13,Wall,Wall,3,dictionary,Wall,WL,full-word,True,
TT3A,14,Charm,Charm,5,dictionary,Charm,,full-word,True,
TT3A,15,Out,Out,4,literal,Out,,full-word,True,
TT3A,16,Pass,PS,3,literal,Pass,PS,blocked,True,
TT3A,17,In,In,4,literal,In,,full-word,True,
TT3A,18,Walk,Walk,4,literal,Walk,,full-word,True,
TT3A,19,Floor,FL,3,literal,Floor,FL,blocked,True,
TT3A,20,Nick,Nick,4,literal,Nick,,full-word,True,
TT3A,21,Ralph,RAL,4,literal,Ralph,RAL,blocked,True,
TT3A,22,Frankie,Frankie,5,dictionary,Frankie,Frankie,full-word,True,
TT3A,23,Stove,Stove,5,literal,Stove,,full-word,True,
TT3A,24,Bed,Bed,5,literal,Bed,,full-word,True,
TT3A,25,Shower,Shower,7,dictionary,Shower,,full-word,True,
TT3A,26,Sheet,SHT,4,literal,Sheet,SHT,blocked,True,
TT3A,27,Rub,RB,3,literal,Rub,RB,blocked,True,
TT3A,28,Mattress,MATT,5,literal,Mattress,MATT,blocked,True,
TT3A,29,Tile,Tile,4,literal,Tile,,full-word,True,
TT3A,30,Rock,Rock,4,literal,Rock,,full-word,True,
TT3A,31,Shower,Shower,5,dictionary,Shower,SHWR,full-word,True,
TT3A,32,Wear,WR,3,literal,Wear,WR,blocked,True,
TT3A,33,Tunnel,TUN,4,literal,Tunnel,TUN,blocked,True,
TT3A,34,Soil,SL,3,literal,Soil,SL,blocked,True,
TT3A,35,Front,FR,3,literal,Front,FR,blocked,True,
TT3A,36,Back,Back,4,dictionary,Back,BCK,full-word,True,
TT3A,37,Soldier,SOL,4,literal,Soldier,SOL,blocked,True,
TT3A,38,Yes,Yes,4,dictionary,Yes,,full-word,True,
TT3A,39,No,No,4,literal,No,,full-word,True,
TT3A,40,Gun,Gun,4,literal,Gun,,full-word,True,
TT3A,41,Toss,Toss,4,literal,Toss,,full-word,True,
TT3A,42,Fence,FNC,4,literal,Fence,FNC,blocked,True,
TT3A,43,Woods,WD,3,literal,Woods,WD,blocked,True,
TT3A,44,Bench,BCH,4,literal,Bench,BCH,blocked,True,
TT3A,45,Man,Man,4,dictionary,Man,,full-word,True,
TT3A,46,Simon,SIM,4,literal,Simon,SIM,blocked,True,
TT3A,47,Red,Red,5,literal,Red,,full-word,True,
TT3A,48,Blue,Blue,5,literal,Blue,,full-word,True,
TT3A,49,Notes,Notes,6,dictionary,Notes,,full-word,True,
TT3A,50,Pass,Pass,5,literal,Pass,,full-word,True,
TT3A,51,Greeting,GRT,4,literal,Greeting,GRT,blocked,True,
TT3A,52,Crumple,CRM,4,literal,Crumple,CRM,blocked,True,
TT3A,53,Burn,BRN,4,literal,Burn,BRN,blocked,True,
TT3A,54,Tear,Tear,4,dictionary,Tear,,full-word,True,
TT3A,55,Join,JN,4,literal,Join,JN,blocked,True,
TT3A,56,North,N,3,literal,North,N,blocked,True,
TT3A,57,East,East,4,literal,East,,full-word,True,
TT3A,58,West,W,3,literal,West,W,blocked,True,
TT3A,59,Mill,Mill,7,literal,Mill,,full-word,True,
TT3A,60,Fountain,FNT,4,literal,Fountain,FNT,blocked,True,
TT3A,61,Bottle,BT,3,literal,Bottle,BT,blocked,True,
