bank,records,dictionary_entries,packed_bytes,capacity_bytes,remaining_bytes,sha256
T22,58,31,1809,1812,3,E68349BD89504058229F4C9ECFDE2CAD2805DD4E130A662D04B9E196BA8AF84F
T25,76,31,2366,2374,8,793318D83D6B8C3413DADFE148C8DF1988AD8BB45BAA77FC8B1763EBE01CA339
TT1A,35,31,1660,1669,9,384964BDDBFA628C3DFFE22209F622019062EBCED501F8E46DAE253756E45B8E
TT1B,137,31,4002,4026,24,287B895C76FC4C0EDA332B2D9278AE5DDCA20A879690F891F946EC5AE37B43A4
TT2,169,31,3846,3847,1,891D9160CEEF7E487E86F2B1EDE5EE98CDFF7C5E29607CF41BB139C79E7E5EC0
TT3A,152,31,3738,3741,3,CCA125CC3B516171BCBE2F742775236090D8F190C2EE464573D1C8793256E0A4
TT3B,58,31,1839,1840,1,51BF3CB69E6C3AC4114E9F586BA8F2DF7026320F0379C4815511780C8D8B032E
TT4,183,31,4738,4741,3,FC88226F48B3269D19B7C3FD0A53F6782031C5BD51A5626C5A370151A2C2D284
TT5,123,31,3700,3702,2,954272BECF4F5D841CD74D3599D3D9D905955A51BA8D7D1AB35893F128A234B7
TT6A,100,31,2828,2833,5,9AF0B47E6C7FEC3543E244EB284E808C9A94E11691D4C86B1968F33B83C940EC
TT6B,94,31,2329,2336,7,DD45ECEF2F3443EEB4AD8BFE365820B17A042E3D69E5EC406B3FC56500AD2642
TT6C,106,31,3529,3536,7,422F4C96817F73DA4A8A53CD1D572D007730AC25130A9DBF3DE843E06F419A98
TT6D,8,6,323,332,9,36D5105046EB287FB208B09A3F45DB7A6E4BD7C062EED200D1BA8CDEE794A920
