bank,index,source_label,decoded_label,slot_bytes,representation,proposed_full_label,fallback_label,status,width_ok,width_error
TT3A,0,Look,SE,3,literal,Look,SE,blocked,True,
TT3A,2,Take,GT,3,literal,Take,GT,blocked,True,
TT3A,6,Body,BOD,4,literal,Body,BOD,blocked,True,
TT3A,7,Pocket,POCKT,5,literal,Pocket,POCKT,blocked,True,
TT3A,8,Pliers,PLI,4,literal,Pliers,PLI,blocked,True,
TT3A,16,Pass,PS,3,literal,Pass,PS,blocked,True,
TT3A,19,Floor,FL,3,literal,Floor,FL,blocked,True,
TT3A,21,Ralph,RAL,4,literal,Ralph,RAL,blocked,True,
TT3A,26,Sheet,SHT,4,literal,Sheet,SHT,blocked,True,
TT3A,27,Rub,RB,3,literal,Rub,RB,blocked,True,
TT3A,28,Mattress,MATT,5,literal,Mattress,MATT,blocked,True,
TT3A,32,Wear,WR,3,literal,Wear,WR,blocked,True,
TT3A,33,Tunnel,TUN,4,literal,Tunnel,TUN,blocked,True,
TT3A,34,Soil,SL,3,literal,Soil,SL,blocked,True,
TT3A,35,Front,FR,3,literal,Front,FR,blocked,True,
TT3A,37,Soldier,SOL,4,literal,Soldier,SOL,blocked,True,
TT3A,42,Fence,FNC,4,literal,Fence,FNC,blocked,True,
TT3A,43,Woods,WD,3,literal,Woods,WD,blocked,True,
TT3A,44,Bench,BCH,4,literal,Bench,BCH,blocked,True,
TT3A,46,Simon,SIM,4,literal,Simon,SIM,blocked,True,
TT3A,51,Greeting,GRT,4,literal,Greeting,GRT,blocked,True,
TT3A,52,Crumple,CRM,4,literal,Crumple,CRM,blocked,True,
TT3A,53,Burn,BRN,4,literal,Burn,BRN,blocked,True,
TT3A,55,Join,JN,4,literal,Join,JN,blocked,True,
TT3A,56,North,N,3,literal,North,N,blocked,True,
TT3A,58,West,W,3,literal,West,W,blocked,True,
TT3A,60,Fountain,FNT,4,literal,Fountain,FNT,blocked,True,
TT3A,61,Bottle,BT,3,literal,Bottle,BT,blocked,True,
TT3A,62,Mita,SW,3,literal,Mita,SW,blocked,True,
TT3A,64,South,S,4,literal,South,S,blocked,True,
TT3A,66,Paper,PP,3,literal,Paper,PP,blocked,True,
TT3A,71,Ghetto,GHETO,5,literal,Ghetto,GHETO,blocked,True,
TT3A,72,Residence,RESID,6,literal,Residence,RESID,blocked,True,
TT3A,73,Resistance,RESIST,6,literal,Resistance,RESIST,blocked,True,
TT3A,74,Register,REGSTR,6,literal,Register,REGSTR,blocked,True,
TT3A,80,Delon,DLN,4,literal,Delon,DLN,blocked,True,
TT3A,81,Belmondo,BELMO,6,literal,Belmondo,BELMO,blocked,True,
TT3A,82,Philippe,PHIL,6,literal,Philippe,PHIL,blocked,True,
TT3A,84,Montgomery,MONTY,6,literal,Montgomery,MONTY,blocked,True,
TT3A,85,Patton,PTTN,5,literal,Patton,PTTN,blocked,True,
TT3A,86,Eisenhower,EISEN,6,literal,Eisenhower,EISEN,blocked,True,
TT3A,87,Roosevelt,ROOSVLT,7,literal,Roosevelt,ROOSVLT,blocked,True,
TT3A,88,Churchill,CHRCHL,6,literal,Churchill,CHRCHL,blocked,True,
TT3A,89,MacArthur,MACARTH,7,literal,MacArthur,MACARTH,blocked,True,
TT3A,92,Broom,BRM,4,literal,Broom,BRM,blocked,True,
TT3A,94,Woman,WMN,4,literal,Woman,WMN,blocked,True,
TT3B,7,Simon,SIM,4,literal,Simon,SIM,blocked,True,
TT3B,16,Ask,AS,3,literal,Ask,AS,blocked,True,
TT3B,17,Road,RD,3,literal,Road,RD,blocked,True,
TT3B,18,Text,TX,3,literal,Text,TX,blocked,True,
TT2,0,Look,SE,3,literal,Look,SE,blocked,True,
TT2,4,Ask,AS,3,literal,Ask,AS,blocked,True,
TT2,5,Smell,SN,3,literal,Smell,SN,blocked,True,
TT2,9,Body,BOD,4,literal,Body,BOD,blocked,True,
TT2,10,Glass,GLS,4,literal,Glass,GLS,blocked,True,
TT2,13,Drink,DR,3,literal,Drink,DR,blocked,True,
TT2,14,Robe,RB,3,literal,Robe,RB,blocked,True,
TT2,15,Key,KY,3,literal,Key,KY,blocked,True,
TT2,22,Bottle,BT,3,literal,Bottle,BT,blocked,True,
TT2,23,Wear,ON,3,literal,Wear,ON,blocked,True,
TT2,24,Remove,OF,3,literal,Remove,OF,blocked,True,
TT2,26,Damascus,DAM,5,literal,Damascus,DAM,blocked,True,
TT2,27,Jerusalem,JERUS,5,literal,Jerusalem,JERUS,blocked,True,
TT2,28,Crimea,CRI,4,literal,Crimea,CRI,blocked,True,
TT2,29,Hundred Years,100,5,literal,Hundred Years,100,blocked,True,
TT2,30,Pacific,PAC,6,literal,Pacific,PAC,blocked,True,
TT2,31,Merchants,MER,5,literal,Merchants,MER,blocked,True,
TT2,32,Commoners,COM,4,literal,Commoners,COM,blocked,True,
TT2,33,Actors,ACT,5,literal,Actors,ACT,blocked,True,
TT2,34,Criminals,CRK,5,literal,Criminals,CRK,blocked,True,
TT2,36,Zois,ZOI,4,literal,Zois,ZOI,blocked,True,
TT2,37,Geld,GEL,4,literal,Geld,GEL,blocked,True,
TT2,40,da Vinci,VINCI,6,literal,da Vinci,VINCI,blocked,True,
TT2,41,Lacoste,CST,5,literal,Lacoste,CST,blocked,True,
TT2,42,De Palma,PAL,6,literal,De Palma,PAL,blocked,True,
TT2,45,U Thant,THA,5,literal,U Thant,THA,blocked,True,
TT2,46,Tools,TLS,4,literal,Tools,TLS,blocked,True,
TT2,51,White,WT,3,literal,White,WT,blocked,True,
TT2,56,All,AL,3,literal,All,AL,blocked,True,
TT2,59,Building,BLD,4,literal,Building,BLD,blocked,True,
TT2,61,Town,TN,3,literal,Town,TN,blocked,True,
TT2,63,Woman,WMN,4,literal,Woman,WMN,blocked,True,
T22,8,Robe,RB,3,literal,Robe,RB,blocked,True,
T22,9,Key,KY,3,literal,Key,KY,blocked,True,
T22,11,Remove,OF,3,literal,Remove,OF,blocked,True,
T22,15,Passage,PS,3,literal,Passage,PS,blocked,True,
T22,18,Well,WL,3,literal,Well,WL,blocked,True,
T22,20,Hill,HL,3,literal,Hill,HL,blocked,True,
