bank,index,old,new,method
TT3B,8,WMN,Woman,existing_dictionary
TT2,8,PIER,Pierre,existing_dictionary
TT2,58,CROWD,Crowd,required_dictionary_case_update
T22,0,SE,Look,required_dictionary_reuse
T22,30,CROWD,Crowd,required_dictionary_case_update
TT6C,86,HITLR,Hitler,existing_dictionary
TT6B,12,TONG,Tongue,existing_dictionary
TT6B,17,CML,Camel,existing_dictionary
TT6B,30,SHP,Sheep,existing_dictionary
TT6B,31,CW,Cow,existing_dictionary
TT6A,8,JOS,Joseph,existing_dictionary
TT6A,22,HL,Hill,existing_dictionary
TT4,73,SE,Sea,existing_dictionary
TT5,19,DRAW,Drawer,existing_dictionary
TT5,55,TRDR,Trader,existing_dictionary
TT5,73,CAM,Camera,existing_dictionary
T25,5,SOL,Soldier,existing_dictionary
T25,6,COFE,Coffee,existing_dictionary
T25,8,MANR,Mansion,existing_dictionary
T25,25,DRAW,Drawer,existing_dictionary
T25,36,COY,Coyote,existing_dictionary
