bank,index,old,new,slot,literal_size,priority,category,reason,blocker,next_step
TT3A,7,POCKT,Pocket,5,6,75,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,8,PLI,Pliers,4,6,75,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,19,FL,Floor,3,5,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,21,RAL,Ralph,4,5,70,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,26,SHT,Sheet,4,5,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,28,MATT,Mattress,5,7,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,33,TUN,Tunnel,4,6,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,34,SL,Soil,3,4,65,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,35,FR,Front,3,5,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,37,SOL,Soldier,4,7,80,person,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,42,FNC,Fence,4,5,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,43,WD,Woods,3,5,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,44,BCH,Bench,4,5,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,46,SIM,Simon,4,5,70,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,51,GRT,Greeting,4,8,65,action,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,52,CRM,Crumple,4,7,65,action,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,53,BRN,Burn,4,5,65,action,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,60,FNT,Fountain,4,7,65,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
