bank,index,full_label,old_visible,new_visible,slot_bytes,representation
TT3A,36,Back,BCK,Back,4,dictionary
TT3A,67,Back,BCK,Back,4,dictionary
TT3B,0,Look,SE,Look,3,dictionary
TT3B,2,Take,GT,Take,3,dictionary
TT2,2,Take,GT,Take,3,dictionary
TT2,35,Guild,GDE,Guild,4,dictionary
TT2,38,Guild,GLD,Guild,4,dictionary
T22,3,Ask,AS,Ask,3,dictionary
T22,14,Take,GT,Take,3,dictionary
TT6B,0,Look,SE,Look,3,dictionary
TT6B,1,Ask,AS,Ask,3,dictionary
TT6B,31,Cow,CW,Cow,3,dictionary
TT6A,0,Look,SE,Look,3,dictionary
TT6A,1,Ask,AS,Ask,3,dictionary
TT6A,2,Smell,SM,Smell,3,dictionary
TT6A,6,Sky,SK,Sky,3,dictionary
TT6A,7,Body,BOD,Body,4,dictionary
TT6A,11,Soil,SL,Soil,3,dictionary
TT6A,12,Village,VL,Village,3,dictionary
TT6A,13,Drink,DR,Drink,3,dictionary
TT6A,17,Well,WL,Well,3,dictionary
TT6A,18,Trough,TRGH,Trough,5,dictionary
TT6A,19,Rope,RP,Rope,3,dictionary
T25,0,Look,SE,Look,3,dictionary
T25,4,Sky,SK,Sky,3,dictionary
T25,7,Outside,OFR,Outside,4,dictionary
T25,10,Wagon,WGN,Wagon,4,dictionary
T25,13,Lincoln,LINC,Lincoln,5,dictionary
T25,27,Second,2ND,Second,5,dictionary
T25,29,Picture,P,Picture,2,dictionary
T25,30,Ask,AS,Ask,3,dictionary
