sequence	bank	text_id	kind	source_location	packed_bytes	japanese_exact	japanese_readable	mechanical_romaji	normalized_japanese_aid	current_english_exact	current_english_readable	source_controls	english_controls	control_match	script_profile	voice_dialect_register	orthography_kanji_katakana	comparison_flags	review_priority	proposed_retranslation	reviewer_notes
1	TT1A	TT1A/g0/r0	scenario	group 0 @ 0xA4C2; record 0	group-compressed	1995ねん 9がつ25にち{CTRL:1}すべては このひからはじまった……	1995ねん 9がつ25にち ⟦CTRL:1⟧ すべては このひからはじまった……	1995nen 9gatsu25nichi / subeteha konohikarahajimatta……	1995ねん 9がつ25にちすべては このひからはじまった……	September 25, 1995{CTRL:1}It all began that day...	September 25, 1995 ⟦CTRL:1⟧ It all began that day...	1	1	yes	hiragana:20; katakana:0; kanji:0; Latin:0; digits:7; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	source numerals ['1995', '9', '25']; verify dates/counts and Japanese ordering | ellipsis carries timing/hesitation tone	medium		
2	TT1A	TT1A/g0/r1	scenario	group 0 @ 0xA4C2; record 1	group-compressed	"きゃすたー「こどくのてんさい とよばれる{CTRL:0} ぶつりがくしゃの しもんはかせは{CTRL:2} さくや ""たいむとらべる"" にかんする{CTRL:0} きわめてきょうみぶかい つぎのような{CTRL:4} こめんとを はっぴょういたしました」"	"きゃすたー「こどくのてんさい とよばれる ⟦CTRL:0⟧  ぶつりがくしゃの しもんはかせは ⟦CTRL:2⟧  さくや ""たいむとらべる"" にかんする ⟦CTRL:0⟧  きわめてきょうみぶかい つぎのような ⟦CTRL:4⟧  こめんとを はっぴょういたしました」"	"kyasutaa「kodokunotensai toyobareru /  butsurigakushano shimonhakaseha /  sakuya ""taimutoraberu"" nikansuru /  kiwametekyoumibukai tsuginoyouna /  komentoo happyouitashimashita」"	"きゃすたー「こどくのてんさい とよばれる ぶつりがくしゃの しもんはかせは さくや ""たいむとらべる"" にかんする きわめてきょうみぶかい つぎのような こめんとを はっぴょういたしました」"	News: Dr. Simon,{CTRL:0}a reclusive genius in{CTRL:2}physics, made this{CTRL:0}statement on time travel{CTRL:4}late last night.	News: Dr. Simon, ⟦CTRL:0⟧ a reclusive genius in ⟦CTRL:2⟧ physics, made this ⟦CTRL:0⟧ statement on time travel ⟦CTRL:4⟧ late last night.	0,2,0,4	0,2,0,4	yes	hiragana:80; katakana:1; kanji:0; Latin:0; digits:0		しもん → シモン (Simon) | たいむ → タイム | はかせ → 博士		low		
3	TT1A	TT1A/g0/r2	scenario	group 0 @ 0xA4C2; record 2	group-compressed	"しもん「えー… ながねんにわたるけんきゅうの{CTRL:0} けっか わたしはこれまでくうそうに{CTRL:0} すぎなかった ""たいむとらべる"" について{CTRL:0} そのじつげんに おおきくちかづいたことを…」"	"しもん「えー… ながねんにわたるけんきゅうの ⟦CTRL:0⟧  けっか わたしはこれまでくうそうに ⟦CTRL:0⟧  すぎなかった ""たいむとらべる"" について ⟦CTRL:0⟧  そのじつげんに おおきくちかづいたことを…」"	"shimon「ee… naganenniwatarukenkyuuno /  kekka watashihakoremadekuusouni /  suginakatta ""taimutoraberu"" nitsuite /  sonojitsugenni ookikuchikazuitakotoo…」"	"しもん「えー… ながねんにわたるけんきゅうの けっか わたしはこれまでくうそうに すぎなかった ""たいむとらべる"" について そのじつげんに おおきくちかづいたことを…」"	Simon: Well... years of{CTRL:0}research have brought{CTRL:0}time travel from fantasy{CTRL:0}closer to reality...	Simon: Well... years of ⟦CTRL:0⟧ research have brought ⟦CTRL:0⟧ time travel from fantasy ⟦CTRL:0⟧ closer to reality...	0,0,0	0,0,0	yes	hiragana:70; katakana:1; kanji:0; Latin:0; digits:0		しもん → シモン (Simon) | たいむ → タイム | けんきゅう → 研究	ellipsis carries timing/hesitation tone	low		
4	TT1A	TT1A/g0/r3	scenario	group 0 @ 0xA4C2; record 3	group-compressed	うらないさーびすせんたーが おおくりする{CTRL:0}「きょうのうんせい」です{CTRL:2}あなたのけつえきがたを とうろくしてください	うらないさーびすせんたーが おおくりする ⟦CTRL:0⟧ 「きょうのうんせい」です ⟦CTRL:2⟧ あなたのけつえきがたを とうろくしてください	uranaisaabisusentaaga ookurisuru / 「kyounounsei」desu / anatanoketsuekigatao tourokushitekudasai	うらないさーびすせんたーが おおくりする「きょうのうんせい」ですあなたのけつえきがたを とうろくしてください	"The Fortune Center{CTRL:0}presents ""Today's Luck"".{CTRL:2}Enter your blood type."	"The Fortune Center ⟦CTRL:0⟧ presents ""Today's Luck"". ⟦CTRL:2⟧ Enter your blood type."	0,2	0,2	yes	hiragana:48; katakana:2; kanji:0; Latin:0; digits:0		うらない → 占い		low		
5	TT1A	TT1A/g0/r4	scenario	group 0 @ 0xA4C2; record 4	group-compressed	あなたの うまれたつきは！	あなたの うまれたつきは！	anatano umaretatsukiha！	あなたの うまれたつきは！	Your birth month?	Your birth month?			yes	hiragana:11; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
6	TT1A	TT1A/g0/r5	scenario	group 0 @ 0xA4C2; record 5	group-compressed	では せいかくしんだんからはじめます{CTRL:1}しつもんに おこたえください	では せいかくしんだんからはじめます ⟦CTRL:1⟧ しつもんに おこたえください	deha seikakushindankarahajimemasu / shitsumonni okotaekudasai	では せいかくしんだんからはじめますしつもんに おこたえください	First: personality test.{CTRL:1}Answer each question.	First: personality test. ⟦CTRL:1⟧ Answer each question.	1	1	yes	hiragana:30; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
7	TT1A	TT1A/g0/r6	scenario	group 0 @ 0xA4C2; record 6	group-compressed	みそしるより こんそめすーぷが すき	みそしるより こんそめすーぷが すき	misoshiruyori konsomesuupuga suki	みそしるより こんそめすーぷが すき	Do you prefer consommé  to miso soup?	Do you prefer consommé  to miso soup?			yes	hiragana:15; katakana:1; kanji:0; Latin:0; digits:0		こんそめ → コンソメ	English contains padding used for layout or packed size	low		
8	TT1A	TT1A/g0/r7	scenario	group 0 @ 0xA4C2; record 7	group-compressed	50めーとるいじょう およげる	50めーとるいじょう およげる	50meetoruijou oyogeru	50めーとるいじょう およげる	Swim 50 meters or more?	Swim 50 meters or more?			yes	hiragana:11; katakana:1; kanji:0; Latin:0; digits:2		Source suppresses normal kanji/katakana distinctions; restore only with context	source numerals ['50']; verify dates/counts and Japanese ordering	medium		
9	TT1A	TT1A/g0/r8	scenario	group 0 @ 0xA4C2; record 8	group-compressed	いみもなくとつぜん わらいだすことがある	いみもなくとつぜん わらいだすことがある	imimonakutotsuzen waraidasukotogaaru	いみもなくとつぜん わらいだすことがある	Do you laugh at random?	Do you laugh at random?			yes	hiragana:19; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
10	TT1A	TT1A/g0/r9	scenario	group 0 @ 0xA4C2; record 9	group-compressed	やっぱりやきゅうは じゃいあんつだ	やっぱりやきゅうは じゃいあんつだ	yappariyakyuuha jaiantsuda	やっぱりやきゅうは じゃいあんつだ	Are the Giants the best?	Are the Giants the best?			yes	hiragana:16; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
